image id;older;tilted face;pose sideways;not only face / face not centered;photoshoped;black and white
7;;X;;;;
11;;;X;;;
18;;;X;;;
25;;X;;;;
27;;X;;;;
29;;X;;;;
43;;X;;;;
46;;X;X;;;
48;;;X;;;
57;;;X;;;
58;;X;;;;
59;;X;;;;
63;;;X;;;
64;;X;;;;
66;X;;;;;
70;;;X;;;
78;;X;;;;
79;;;X;;;
80;;;;;;
81;X;;;;;
89;;;X;;;
96;;X;;;;
98;;;X;;;
101;;;;X;;
103;;;;X;;
105;;;;X;;
106;;;;X;;
107;;;;X;;
108;;;;X;;
109;;;;X;;
111;;X;X;;;
114;X;;;X;;
118;;;;X;;
119;;X;X;;;
121;;;;X;;
122;;;X;;;
123;;;;X;;
127;X;;;;;
135;;;X;;;
142;;X;;;;
143;;;;X;;
148;;;;X;;
149;;;;X;;
154;X;;;;;
155;X;;;;;
157;X;;;;;
159;X;;;;;
164;;;X;;;X
166;X;;;;;
167;X;;;;;
168;X;;X;;;
170;X;;;;;
177;X;;;;;
178;X;;;;;
183;;;X;;;
184;X;;;;;
185;X;;;;;
187;;;X;;;
188;;;X;;;
191;X;;;;;
194;X;;;;;
200;;;X;;;
202;;;X;;;
203;;;X;;;
204;;;X;;;
207;;;X;;;
208;;;X;;;
209;;;X;;;
210;;;X;;;
211;;;X;;;
212;;;X;;;
213;X;;X;;;
215;;;X;;;
217;X;;X;;;
218;X;;X;;;
219;X;;X;;;
221;;;X;;;
224;;;X;;;
226;;;X;;;
227;;;X;;;
229;;;X;;;
230;;;X;;;
234;X;;X;;;
236;;;X;;;
238;;;X;;;
241;;;X;;;
243;;;X;;;
247;;;X;;;
249;;;X;;;
253;;X;;;;
262;;;X;;;
263;;;X;;;
266;;;X;;;
267;;;X;;;
272;X;;;;;
273;X;;;;;
275;X;;;;;
282;X;;X;;;
284;;;X;;;
289;;X;;;;
297;;;;;X;
293;X;;;;;
294;X;;;;;
298;X;;X;;;
302;;;X;;;
309;;X;;;;
310;X;;;;;
315;;X;;;;
316;;X;;;;
317;;;X;;;
318;;;X;;;
323;;X;X;;;
326;;;;;X;
327;;;;;X;
329;X;;;;;
334;X;;;;;
335;;X;X;;;
336;;;;;X;
337;;;;;X;
338;X;;;;X;
340;;X;;;;
342;;;X;;;
343;;;X;;;
345;;X;;;;
346;;X;;;;
347;;X;;;;
349;;;;;X;
351;;X;X;;;
352;;;;;X;
353;;;X;;;
354;X;;;;;
358;;X;;;;
364;;;X;;;
368;;;;;X;
371;;;X;;;
374;;X;;;;
375;;;X;;;
378;;;;;X;
379;;;;;X;
381;;;X;;;
388;;;X;;;
389;;;;;X;
390;;X;;;;
392;X;;;;;
397;X;;;;X;
401;;;;;X;
409;X;;;;X;
410;;X;;;;
413;;X;;;;
415;;X;;;;
416;X;;;;;
417;X;;;;X;
421;;;;;X;
422;;;;;X;
423;;;X;;;
425;;X;X;;;
426;;;X;;;
427;;;X;;;
430;;;X;;;
433;;X;;;;
435;;X;;;;
436;;X;;;X;
438;;;;;X;
440;;;;;X;
448;;;X;;;
451;;;X;;;
472;;;X;;;
474;;X;;;;
476;;;X;;;
480;X;;;;;
481;X;;;;;
